微博正文,是否原创,发布时间,发布工具,点赞数,转发数,评论数
",你好,明天,新年的钟声即将敲响,中华世纪坛射向星空的,北京之光,寄托家国梦想,牵引前行方向,一个国家的强大,不仅在于GDP增长,更在于安全的食品,清新的空气,坚固的桥梁,在于每个公民的幸福与尊严,为了梦想,我们继续一起守望,一起奋斗,在一起,就有温暖,就有力量,新年快乐,安,原图,",True,2012-12-31 23:50,人民日报微博,40,1116,444
",中国梦,我的梦,Ann,程,我的小梦想,是带着曾经日出而作日入而息,面朝黄土背朝天的辛勤了一辈子的父母,做一次健康检查,然后带着他们去看大中国,我的大梦想,是希望那些远在山区的所有父母们每年都能享受一次免费的身体健康检查,你的梦想是什么,2013,我们一同守护,",True,2012-12-31 23:31,人民日报微博,9,266,107
",微议录,对2013,你的态度是什么,对NEW,YEAR的态度,七分安排,两分梦想,一分空白,今夜,请剥夺我的睡眠,我想失眠,只为思考,感谢,掠过海岸的风,liz静,布剪刀石头布,小鱼儿爱爱爱,公爵120707,奋斗着的捷杭,米诺的大朋友,a,世,Jr憨,等网友对新年寄语,电影票房等话题发表评论,原图,",True,2012-12-31 23:02,微博 weibo.com,8,187,71
",人民日报元旦献词,让我们一起成就梦想,在未来的道路上,干部清正,政府清廉,政治清明,才能让变化更大一点,让问题更少一点,个人努力,社会协力,国家给力,才能让进步更快一点,离梦想更近一点,让我们一起成就梦想,用2013年的日日夜夜,成就一个更加美丽的中国,",True,2012-12-31 22:42,人民日报微博,37,1149,410
",不为总书记考察添置哪怕一个新板凳,这次考察由总书记亲自提出,为了解中国贫困的真实情况,领导机关明确要求河北阜平,要确保总书记考察见群众,听真话,摸实情,绝不许作假,村民有什么说什么,说不上来不要紧,但不能培训,更不能导演,要保持村里原生态,不为考察添置哪怕一个新板凳,新华视点,原图,",True,2012-12-31 22:06,人民日报微博,76,2622,156
",爸妈新年好,爸妈我爱你,又长一岁,对于在外求学,打拼的我们,也许回家团圆尚早,也许没有礼物相送,但千万记着给家中的父母一些精神慰藉,哪怕是一个电话,一句问候,但如果你看完这条微博后,给父母打电话,突然说了句爸妈,我爱你,会出现什么情况呢,各种,神回复,视频,打电话对父母说我爱你,看看他们如何反应,原图,",True,2012-12-31 21:46,人民日报微博,11,419,146
",微评论,细节关乎人文关怀,北京地铁新线开通,城市交通压力得以缓解,也给这座城市的寒冷岁末增添些许暖意,然而,部分站点电梯不到位,手机信号尚未覆盖,不免让人在赞叹工程收关迅速之余略感失望,城市日新月异,发展势如破竹,细节的完善也需跟上步伐,方能彰显城市的人文关怀,静雯zhangguigui,原图,",True,2012-12-31 21:25,人民日报微博,9,109,83
",一位网友的新年期盼,明天正能量更风靡,明天元芳无需看问题,明天屌丝全逆袭,明天舌尖上最安心,明天亚历山大变稀奇,明天最美遍天地,明天赞字挂嘴里,明天领导都接地气,明天官员过节不收礼,明天信访办关门大吉,明天白富美不一定跟高富帅在一起,明天大家见面都是笑呵呵,网友,破茧89,来稿,原图,",True,2012-12-31 20:52,人民日报微博,17,923,336
",行贿1万元以上应追究刑事责任,人民日报记者徐隽消息,最高法,最高检今天发布了关于办理行贿刑事案件具体应用法律若干问题的解释,明天起,为谋取不正当利益,向国家工作人员行贿,数额在一万元以上的,依照刑法规定追究刑事责任,多次行贿未经处理的,按照累计行贿数额处罚,",True,2012-12-31 20:23,微博 weibo.com,21,668,396
",胡锦涛发表新年贺词,携手促进世界共同发展,国家主席胡锦涛今日发表新年贺词,称将继续把握好稳中求进总基调,全面推进改革开放和社会主义现代化建设,为实现党的十八大确定的目标任务开好局,起好步,我从北京祝大家在新的一年里幸福安康,文字http,t,cn,zjHguRo视频",True,2012-12-31 19:39,微博 weibo.com,54,807,23
",人民日报元旦献词,一元复始,常常是梦想开始的时候,更好的教育,更稳定的工作,更满意的收入,更可靠的社会保障,这些平凡的梦想汇聚起来,便是个人的命运,社会的脉动,国家的方向,无论是富裕梦,公平梦,成功梦,还是小康梦,强国梦,复兴梦,所梦所想,百年一脉,必须靠团结奋斗,靠实干兴邦,原图,",True,2012-12-31 19:07,人民日报微博,13,1002,286
"转发理由,9岁男童玩鞭炮引爆窨井不幸身亡,昨天,成都3个小孩在小区内玩鞭炮,鞭炮被扔进窨井内,井盖被炸起,一名9岁小孩被井盖掀进窨井内,不幸身亡,提醒,临近元旦,春节,在燃放烟花爆竹时,一定要远离或避开污水井,化粪池和下水道,以免引爆沼气造成伤害,http,t,cn,zjHpbEh成都商报,原始用户,人民日报,转发内容,千万告诉孩子别往井盖里放鞭炮,今天是消防日,在浙江的一个居民小区里,一个10多岁的男孩将点燃的鞭炮塞进了井盖缝隙里,瞬时间,井盖被一股强大的力冲上了天,井里喷出三米多高的火焰,所幸男孩及时跑开未受伤,以下是监控实拍鞭炮炸飞井盖,孩童被气浪推开,惊心动魄,",False,2012-12-31 18:39,媒体版微博,10,455,168
