微博正文,是否原创,发布时间,发布工具,点赞数,转发数,评论数
",汶川大地震10年,生死不离,生生不息,十年了,你好吗,汶川十年,人民日报的秒拍视频,",True,2018-05-11 23:59,新媒体聚合平台,904768,21140354,442987
",此时此刻,无论你在何地,请为中国传递这条微博,对你而言,什么是中国,她曾积贫积弱,如今重焕生机,六十九载,汗水与泪水,光荣与梦想,中国未来的成就与辉煌,由你,我,他共同创造,转发,一起努力,中国有我,人民日报的秒拍视频,",True,2018-10-01 07:00,微博 weibo.com,311209,15043224,140643
",今天,请一起转发微博,共同祭奠死难同胞,1937年的今天,侵华日军攻陷南京,短短6周内,30多万中国军民惨遭杀戮,山河破碎,生灵涂炭,昭昭前事,惕惕后人,今天,南京大屠杀死难者国家,公祭日,我们以国家的名义祭奠,不是为了延续仇恨,而是为了和平与正义长存,转发,愿逝者安息,和平永存,组图共9张,原图,",True,2018-12-13 06:59,新媒体聚合平台,258666,7575232,95267
",人民日报,发红包啦,春节要到啦,过去一年间,我们一起笑过,哭过,感动过,感谢你一年来的相守相伴,今年过节,快来拿,人民日报,大红包哦,只需转发,评论,点赞这条微博,或参与话题,人民日报让红包飞,就有机会获得iphone5s,花心,顺便,有什么建议也告诉我们哈,祝你红包拿到手软,原图,",True,2014-01-05 20:47,微博 weibo.com,22379,2510583,5049911
",今天发条微博,祝福汶川,2008年,14时28分04秒,一个无法被忘记的时间,8,0级地震,近7万人遇难,一段永远不能忘却的记忆,生命逝去的悲痛,相互扶持的坚强,灾难面前的大爱,废墟上的重新站立,汶川地震11年了,山川抚平伤痕,汶川走向重生,今天,转发微博,缅怀逝者,致敬重生,加油汶川,组图共9张,原图,",True,2019-05-12 07:00,微博 weibo.com,283676,5683011,105045
",你好,十九大,今天,中国共产党第十九次全国代表大会召开,人民对美好生活的向往,就是我们的奋斗目标,这是对人民的深情表白,也是对中国未来的庄严承诺,不忘初心,继续前进,你好,十九大,加油,中国,组图共9张,原图,",True,2017-10-18 07:00,新媒体聚合平台,234635,5275670,48292
",你好,明天,四川木里县森林大火,30名扑火队员壮烈牺牲,太痛心了,多希望这是愚人节的一个玩笑,但灾难无情,这些赤子凭着责任和一腔热血,赴汤蹈火,在所不惜,悲痛之余,我们更无限惋惜,生命至上,救援安全系数能否再提高一些,让化险为夷的成本降下来,是对英雄们最好的告慰,原图,",True,2019-04-01 23:32,新媒体聚合平台,241192,3618699,178973
",青春追梦,还记得你14岁时的梦想吗,今天,五四青年节,TFBOYS,王俊凯,TFBOYS,王源,TFBOYS,易烊千玺,在人民日报微博向你发起青春对话,一起参与,人民日报,发起的,我的十四岁,话题互动,分享你的青春梦想,百年五四,致敬青春,人民日报的秒拍视频,",True,2019-05-04 08:00,微博 weibo.com,47300,3700122,8524
",跟易烊千玺一起挑战,中国很赞,手指舞,严肃表情,标准动作,跟着,TFBOYS,易烊千玺,学起来,全国两会,期间,人民日报,发起的中国很赞手指舞挑战还在继续,两个网友,一起加入吧,让手指起舞,为中国点赞,人民日报的秒拍视频,",True,2018-03-14 11:28,新媒体聚合平台,55773,3371802,10193
",中国一点都不能少,中国的领土主权和海洋权益,不需要别人仲裁,中国,一点都不能少,一寸都不会让,原图,",True,2016-07-12 18:07,人民日报微博,608362,2693311,102760
"毋庸置疑,你是最好的,中国一点都不能少,原图,",True,2018-11-17 23:47,新媒体聚合平台,1058698,1705346,133761
",跟,TFBOYS,易烊千玺,一起挑战,中国有我,手势舞,我有中国,中国有我,用最走心的手势,向祖国表白,我爱你中国,人民日报的秒拍视频,",True,2018-10-03 17:45,新媒体聚合平台,54128,2728404,6276
",中国一点都不能少,这才是中国,一点都不能少,原图,",True,2016-07-11 08:18,人民日报微博,723563,1942162,93513
",南京大屠杀80年,今天,请一起转发微博,共同祭奠死难同胞,1937年的今天,侵华日军攻陷南京,短短6周内,30多万中国军民惨遭杀戮,山河破碎,家破人亡,今天,南京大屠杀死难者国家公祭日,我们以国家的名义祭奠,不仅是为了铭记历史,更是为了和平与正义长存,转发,勿忘国耻,吾辈自强,组图共9张,原图,",True,2017-12-13 06:59,新媒体聚合平台,117385,2270417,33770
",四川九寨沟地震,7,0级地震,余震不断转发提醒安全,中国地震台网正式测定,08月08日21时19分在四川阿坝州九寨沟县,北纬33,20度,东经103,82度,发生7,0级地震,震源深度20千米,已发生两次余震,请附近地区民众注意安全,据悉,甘肃陇南,兰州,天水,平凉等多地有震感,愿平安,组图共9张,原图,",True,2017-08-08 22:00,新媒体聚合平台,58139,2279473,47943
